Artist,Date,City,Venue, Attendance ,Year,Longitude,Latitude
Itzy,10/29/22,"Phoenix, Arizona",Arizona Federal Theatre,,2022,-112.0739,33.4483
Tiffany,11/20/19,"Phoenix, Arizona",Crescent Ballroom,,2019,-112.0739,33.4483
Stray Kids,2/9/20,"Phoenix, Arizona",Comerica Theatre,,2020,-112.0739,33.4483
ATEEZ,11/10/22,"Phoenix, Arizona",Gila River Arena,,2022,-112.0739,33.4483
Monsta X,6/8/22,"Phoenix, Arizona",Arizona Federal Theatre,,2022,-112.0739,33.4483
OMEGA X,10/18/22,"Phoenix, Arizona",Marquee Theatre Tempe,,2022,-112.0739,33.4483
ONEUS,3/11/22,"Phoenix, Arizona",Marquee Theatre Tempe,,2022,-112.0739,33.4483
ONEUS,2/2/23,"Phoenix, Arizona",Marquee Theatre Tempe,,2023,-112.0739,33.4483
OnlyOneOf,4/12/23,"Phoenix, Arizona",Orpheum Theatre,,2023,-112.0739,33.4483
PIXY,4/10/23,"Phoenix, Arizona",Stage West,,2023,-112.0739,33.4483
TRI.BE,7/2/23,"Phoenix, Arizona",Herberger Center Stage,,2023,-112.0739,33.4483
ARTMS,8/29/24,"Phoenix, Arizona", The Van Buren ,,2024,-112.0739,33.4483
ATEEZ,7/25/24,"Phoenix, Arizona",Footprint Center,,2024,-112.0739,33.4483
EVERGLOW,10/6/24,"Phoenix, Arizona",The Van Buren,,2024,-112.0739,33.4483
Kiss Of Life,12/1/24,"Phoenix, Arizona",The Van Buren,,2024,-112.0739,33.4483
Loossemble,10/14/24,Pittsburgh,Roxian Theatre,,2024,-80,40.4417
ONEUS,2/16/22,"Pontiac, Michigan",The Crofoot,,2022,-83.2925,42.6461
Tiffany,10/28/19,"Portland, Oregon",Wonder Ballroom,,2019,-122.6667,45.5167
PIXY,4/7/23,"Portland, Oregon",Bossanova Ballroom,,2023,-122.6667,45.5167
Tiffany,11/12/19,"Raleigh, North Carolina",Lincoln Theatre,,2019,-78.64,35.78
Dreamcatcher,7/1/22,"Reading, Pennsylvania",Santander Arena,,2022,-75.9261,40.3417
LOONA,8/15/22,"Reading, Pennsylvania",Santander Arena,,2022,-75.9261,40.3417
CIX,3/12/23,"Reading, Pennsylvania",Santander Arena,,2023,-75.9261,40.3417
Dreamcatcher,3/6/23,"Reading, Pennsylvania",Santander Arena,,2023,-75.9261,40.3417
P1Harmony,2/3/23,"Reading, Pennsylvania",Santander Arena,,2023,-75.9261,40.3417
BTS,7/24/15,"Rosemont, Illinois",Rosemont Theatre,,2015,-87.8739,41.9908
BTS,3/29/17,"Rosemont, Illinois",AllState Arena,,2017,-87.8739,41.9908
(G)IDLE,8/17/23,"Rosemont, Illinois",Rosemont Theatre,,2023,-87.8739,41.9908
Suga,5/3/23,"Rosemont, Illinois",Allstate Arena,"36,652",2023,-87.8739,41.9908
Suga,5/5/23,"Rosemont, Illinois",Allstate Arena,,2023,-87.8739,41.9908
Suga,5/6/23,"Rosemont, Illinois",Allstate Arena,,2023,-87.8739,41.9908
(G)IDLE,9/15/24,"Rosemont, Illinois",Allstate Arena,,2024,-87.8739,41.9908
ATEEZ,8/10/24,"Rosemont, Illinois", Allstate Arena ,,2024,-87.8739,41.9908
ATEEZ,8/11/24,"Rosemont, Illinois", Allstate Arena ,,2024,-87.8739,41.9908
ENHYPEN,5/1/24,"Rosemont, Illinois",AllState Arena,"15,684",2024,-87.8739,41.9908
IU,7/25/24,"Rosemont, Illinois",Allstate Arena,"13,965",2024,-87.8739,41.9908
IVE,3/26/24,"Rosemont, Illinois",Allstate Arena,"7,438",2024,-87.8739,41.9908
SEVENTEEN,10/22/24,"Rosemont, Illinois", Allstate Arena ,,2024,-87.8739,41.9908
SEVENTEEN,10/23/24,"Rosemont, Illinois", Allstate Arena ,,2024,-87.8739,41.9908
TXT,6/5/24,"Rosemont, Illinois",Allstate Arena,"21,445",2024,-87.8739,41.9908
TXT,6/6/24,"Rosemont, Illinois",Allstate Arena,,2024,-87.8739,41.9908
PIXY,4/20/23,"Saint Paul, Minnesota",Amsterdam Bar & Grill,,2023,-93.0936,44.9442
TRI.BE,6/21/23,"Saint Paul, Minnesota",Amsterdam Bar & Grill,,2023,-93.0936,44.9442
OMEGA X,10/16/22,San Antonio,Vibes Entertainment Center,,2022,-98.4939,29.425
PIXY,4/12/23,San Antonio,Vibes Event Center,,2023,-98.4939,29.425
TRI.BE,6/29/23,San Antonio,Vibes Event Center,,2023,-98.4939,29.425
TXT,5/23/23,San Antonio,AT&T Center,"24,456",2023,-98.4939,29.425
TXT,5/24/23,San Antonio,AT&T Center,,2023,-98.4939,29.425
Kiss Of Life,11/29/24,San Antonio,The Tobin Center for the Performing Arts,,2024,-98.4939,29.425
SEVENTEEN,10/31/24,San Antonio,Frost Bank Center,,2024,-98.4939,29.425
SEVENTEEN,11/1/24,San Antonio,Frost Bank Center,,2024,-98.4939,29.425
SuperM,1/30/20,San Diego,Viejas Arena,,2019,-117.1625,32.715
BLITZERS,2/8/22,San Francisco,Regency Ballroom,,2022,-122.4164,37.7775
Amber,12/14/18,San Francisco,Slim's,,2018,-122.4164,37.7775
Jay Park,11/6/19,San Francisco,Warfield Theatre,,2019,-122.4164,37.7775
Sunmi,3/6/19,San Francisco,Regency Ballroom,,2019,-122.4164,37.7775
Tiffany,10/25/19,San Francisco,Regency Ballroom,,2019,-122.4164,37.7775
(G)IDLE,7/24/22,San Francisco,The Warfield,"2,300",2022,-122.4164,37.7775
Brave Girls,7/21/22,San Francisco,Cowell Theater,,2022,-122.4164,37.7775
CIX,4/30/22,San Francisco,UC Theatre,,2022,-122.4164,37.7775
Dreamcatcher,7/14/22,San Francisco,The Midway,,2022,-122.4164,37.7775
Kim Woo Jin,11/12/22,San Francisco,Marine Memorial Theatre,,2022,-122.4164,37.7775
LOONA,8/4/22,San Francisco,The Midway,,2022,-122.4164,37.7775
MCND,8/26/22,San Francisco,Social Hall SF,,2022,-122.4164,37.7775
Sunmi,9/13/22,San Francisco,The Warfield,,2022,-122.4164,37.7775
TXT,7/21/25,San Francisco,Bill Graham Civiv Auditorium,"5,168",2022,-122.4164,37.7775
(G)IDLE,8/4/23,San Francisco,Bill Graham Civic Auditorium,,2023,-122.4164,37.7775
EVERGLOW,11/20/23,San Francisco,The Warfield,,2023,-122.4164,37.7775
Kang Daniel,3/17/23,San Francisco,The Regency Ballroom,,2023,-122.4164,37.7775
OnlyOneOf,4/29/23,San Francisco,Fort Mason Cowell Theater,,2023,-122.4164,37.7775
pH1,1/23/23,San Francisco,Regency Ballroom,,2023,-122.4164,37.7775
WOODZ,12/2/23,San Francisco,Golden Gate Theatre,,2023,-122.4164,37.7775
xikers,11/4/23,San Francisco,The Warfield,,2023,-122.4164,37.7775
ARTMS,9/3/24,San Francisco, The Warfield ,,2024,-122.4164,37.7775
Kiss Of Life,12/10/24,San Francisco,The Warfield,,2024,-122.4164,37.7775
Loossemble,10/23/24,San Francisco,Palace of Fine Arts,,2024,-122.4164,37.7775
MCND,2/16/24,San Francisco,Fort Mason Cowell Theater,,2024,-122.4164,37.7775
Whee In,5/17/24,San Francisco, Palace of Fine Arts ,,2024,-122.4164,37.7775
XG,10/8/24,San Francisco,Bill Graham Civic Auditorium,,2024,-122.4164,37.7775
XG,10/9/24,San Francisco,Bill Graham Civic Auditorium,,2024,-122.4164,37.7775
Wanna One,6/21/18,"San Jose, California",Event Center Arena,,2018,-121.8728,37.3042
Seventeen,1/21/20,"San Jose, California",SAP Center,,2020,-121.8728,37.3042
Stray Kids,2/13/20,"San Jose, California",Provident Credit Union Event Center,,2020,-121.8728,37.3042
SuperM,2/2/20,"San Jose, California",SAP Center,,2020,-121.8728,37.3042
DKB,10/5/22,"San Jose, California",Montgomery Theatre,,2022,-121.8728,37.3042
KARD,8/24/22,"San Jose, California",San Jose Civic,,2022,-121.8728,37.3042
P1Harmony,5/18/22,"San Jose, California",San Jose Civic,,2022,-121.8728,37.3042
WEi,9/17/22,"San Jose, California",Montgomery Theater,,2022,-121.8728,37.3042
NMIXX,5/4/23,"San Jose, California",San Jose Civic,,2023,-121.8728,37.3042
THE BOYZ,7/28/24,"San Jose, California",San Jose Civic,,2024,-121.8728,37.3042
BLITZERS,2/9/22,Seattle,Showbox SoDo,,2022,-122.3321,47.6062
Jay Park,12/1/19,Seattle,Showbox SoDo,,2019,-122.3321,47.6062
Sunmi,3/10/19,Seattle,Showbox SoDo,,2019,-122.3321,47.6062
Tiffany,10/29/19,Seattle,Showbox SoDo,,2019,-122.3321,47.6062
Seventeen,1/23/20,Seattle,ShoWare Center,,2020,-122.3321,47.6062
SuperM,2/4/20,Seattle,ShoWare Center,,2020,-122.3321,47.6062
(G)IDLE,7/27/22,Seattle,Showbox SoDo,,2022,-122.3321,47.6062
KARD,8/22/22,Seattle,Moore Theatre,,2022,-122.3321,47.6062
Stray Kids,7/14/22,Seattle,Climate Pledge Arena,"23,522",2022,-122.3321,47.6062
Stray Kids,7/15/22,Seattle,Climate Pledge Arena,,2022,-122.3321,47.6062
Sunmi,9/10/22,Seattle,Showbox SoDo,,2022,-122.3321,47.6062
NCT Dream,4/21/23,Seattle,Climate Pledge Arena,,2023,-122.3321,47.6062
NMIXX,5/2/23,Seattle,Moore Theatre,,2023,-122.3321,47.6062
pH1,2/9/23,Seattle,Showbox Sodo,,2023,-122.3321,47.6062
PIXY,4/6/23,Seattle,El Corazon,,2023,-122.3321,47.6062
Dreamcatcher,11/13/24,Seattle,McCaw Hall,,2024,-122.3321,47.6062
Hyolyn,11/3/24,Seattle,Showbox,,2024,-122.3321,47.6062
Itzy,6/6/24,Seattle, WaMu Theater ,,2024,-122.3321,47.6062
Kiss Of Life,12/12/24,Seattle,Moore Theatre,,2024,-122.3321,47.6062
Kiss Of Life,11/18/24,"Silver Spring, Maryland",The Fillmore Silver Spring,,2024,-77.0208,39.0024
Kiss Of Life,11/19/24,"Silver Spring, Maryland",The Fillmore Silver Spring,,2024,-77.0208,39.0024
ONEUS,1/24/23,St. Louis,The Factory,,2023,-90.1994,38.627
PIXY,4/24/23,St. Louis,Red Flag,,2023,-90.1994,38.627003
EVERGLOW,11/10/23,"St. Petersburg, Florida",Mahaffey Theater,,2023,-82.64,27.7731
Dreamcatcher,11/22/24,"St. Petersburg, Florida",Duke Energy Center for the Arts - Mahaffey Theater,,2024,-82.64,27.7731
EVERGLOW,10/1/24,"St. Petersburg, Florida",Mahaffey Theater,,2024,-82.64,27.7731
Itzy,6/14/24,"Sugar Land, Texas",Smart Financial Centre,,2024,-95.6142,29.5994
XG,10/14/24,"Sugar Land, Texas",Smart Financial Centre,,2024,-95.6142,29.5994
Monsta X,6/1/22,"Sunrise, Florida",FLA Live Theatre,,2022,-80.2861,26.1572
TWICE,6/16/23,"Tacoma, Washington",Tacoma Dome,"18,023",2023,-122.4475,47.2525
(G)IDLE,9/6/24,"Tacoma, Washington",Tacoma Dome,,2024,-122.4475,47.2525
ARTMS,9/5/24,"Tacoma, Washington", Pantages Theater ,,2024,-122.4475,47.2525
ATEEZ,7/14/24,"Tacoma, Washington", Tacoma Dome ,,2024,-122.4475,47.2525
ENHYPEN,4/28/24,"Tacoma, Washington",Tacoma Dome,"15,684",2024,-122.4475,47.2525
Loossemble,10/21/24,"Tacoma, Washington",Pantages Theater,,2024,-122.4475,47.2525
TXT,5/14/24,"Tacoma, Washington", Tacoma Dome ,"10,691",2024,-122.4475,47.2525
PIXY,5/10/23,"Tampa, Florida",Brass Mug,,2023,-82.4586,27.9475
Moonbyul,12/6/24,"Tampa, Florida",Straz Center Ferguson Hall,,2024,-82.4586,27.9475
CIX,3/22/23,"Tempe, Arizona",Marquee Theatre Tempe,,2023,-111.94,33.4256
WEi,9/27/22,Toronto,The Opera House,,2022,-79.3867,43.6703
Billlie,12/10/24,"Tucson, Arizona", Fox Tucson Theatre ,,2024,-110.9264,32.2217
tripleS,10/3/23,"Tysons, Virginia",Capital One Hall,,2023,-77.2297,38.9186
Amber,12/7/18,"Washington, D.C.",UStreet Music Hall,,2018,-77.009056,38.8898
Sunmi,3/18/19,"Washington, D.C.",Lincoln Theatre,,2019,-77.009056,38.8898
Itzy,1/24/20,"Washington, D.C.",Warner Theatre,,2020,-77.009056,38.8898
KARD,8/10/22,"Washington, D.C.",Warner Theatre,,2022,-77.009056,38.8898
LOONA,8/17/22,"Washington, D.C.",MGM National Harbor,,2022,-77.009056,38.8898
P1Harmony,3/13/22,"Washington, D.C.",Warner Theatre,,2022,-77.009056,38.8898
Aespa,8/27/23,"Washington, D.C.",The Theater at MGM National Harbor,,2023,-77.009056,38.8898
Chuu,12/11/23,"Washington, D.C.",MGM National Harbor,,2023,-77.009056,38.8898
CIX,3/14/23,"Washington, D.C.",MGM National Harbor,,2023,-77.009056,38.8898
Dreamcatcher,3/2/23,"Washington, D.C.",MGM National Harbor,,2023,-77.009056,38.8898
EVERGLOW,11/8/23,"Washington, D.C.",Warner Theatre,,2023,-77.009056,38.8898
Loossemble,9/20/23,"Washington, D.C.",The Theater at MGM National Harbor,,2023,-77.009056,38.8898
NMIXX,5/14/23,"Washington, D.C.",Warner Theatre,,2023,-77.009056,38.8898
ONEUS,1/14/23,"Washington, D.C.",MGM National Harbor,,2023,-77.009056,38.8898
P1Harmony,2/8/23,"Washington, D.C.",MGM National Harbor,,2023,-77.009056,38.8898
TXT,5/16/23,"Washington, D.C.",Capital One Arena,"12,073",2023,-77.009056,38.8898
ATEEZ,8/6/24,"Washington, D.C.",Capital One Arena,,2024,-77.009056,38.8898
BM,5/25/24,"Washington, D.C.",Karma,,2024,-77.009056,38.8898
Dreamcatcher,11/4/24,"Washington, D.C.",Warner Theatre,,2024,-77.009056,38.8898
IU,7/22/24,"Washington, D.C.",Capital One Arena,"15,060",2024,-77.009056,38.8898
Moonbyul,12/3/24,"Washington, D.C.",Cramton Auditorium,,2024,-77.009056,38.8898
NCT Dream,9/24/24,"Washington, D.C.",Capital One Arena,,2024,-77.009056,38.8898
P1Harmony,5/30/24,"Washington, D.C.",The Anthem,,2024,-77.009056,38.8898
TXT,6/8/24,"Washington, D.C.",Capital One Arena,"13,169",2024,-77.009056,38.8898
Whee In,6/2/24,"Washington, D.C.",Warner Theatre,,2024,-77.009056,38.8898
ONEUS,2/13/22,"Wilkes-Barre, Pennsylvania",The FM Kirby Center,,2022,-75.8781,41.2444
